data1,data2,data3
0.156726,0.75488,1
0.11414,0.864673,1
0.11714,0.756412,1
0.133591,0.721043,1
0.10883,0.81853,1
0.164357,0.720979,1
0.139361,0.773236,1
0.109892,0.679315,1
0.072146,0.901896,1
0.117974,0.700762,1
0.160266,0.701477,1
0.197123,0.710465,1
0.113877,0.749872,1
0.207109,0.755176,1
0.117706,0.760104,1
0.207187,0.713707,1
0.24689,0.727963,1
0.061669,0.687845,1
0.217597,0.550595,1
0.191449,0.691899,1
0.199854,0.613896,1
0.242518,0.682692,1
0.190919,0.584974,1
0.216902,0.630672,1
0.199556,0.6332,1
0.147544,0.681403,1
0.165898,0.647084,1
0.17593,0.603759,1
0.25079,0.540469,1
0.21217,0.640958,1
0.146246,0.615808,1
0.16756,0.743848,1
0.186556,0.785921,1
0.149663,0.642369,1
0.228999,0.639943,1
0.253658,0.629878,1
0.154764,0.660192,1
0.178055,0.659308,1
0.225595,0.707006,1
0.267635,0.642245,1
0.086844,0.684604,1
0.094096,0.833779,1
0.12155,0.769004,1
0.13977,0.741047,1
0.22186,0.729704,1
0.21849,0.655563,1
0.091098,0.88501,1
0.276762,0.615868,1
0.180044,0.600232,1
0.12309,0.837963,1
0.231882,0.716626,1
0.182558,0.613553,1
0.15589,0.704962,1
0.153956,0.826313,1
0.207669,0.740283,1
0.199721,0.766964,1
0.18497,0.751189,1
0.214791,0.626007,1
0.205369,0.652204,1
0.1665,0.684707,1
0.186088,0.689217,1
0.133448,0.72182,1
0.095243,0.841345,1
0.269353,0.623457,1
0.275698,0.623208,1
0.155709,0.721912,1
0.157114,0.690588,1
0.19542,0.628698,1
0.076542,0.848487,1
0.236482,0.622801,1
0.214214,0.653789,1
0.062699,0.794503,1
0.164761,0.679948,1
0.201366,0.653946,1
0.162392,0.685812,1
0.148252,0.810148,1
0.115674,0.614467,1
0.113945,0.827148,1
0.23684,0.622392,1
0.1519,0.724455,1
0.133441,0.688398,1
0.206036,0.680091,1
0.15238,0.561835,1
0.126745,0.727524,1
0.228091,0.732894,1
0.198646,0.639443,1
0.155903,0.728158,1
0.226355,0.736081,1
0.213749,0.754215,1
0.169192,0.701499,1
0.142051,0.687648,1
0.10181,0.859608,1
0.24107,0.639037,1
0.242175,0.660737,1
0.177683,0.696766,1
0.170688,0.713368,1
0.342616,0.533803,1
0.141987,0.632056,1
0.210103,0.728134,1
0.109543,0.81365,1
0.092511,0.751079,1
0.170126,0.64162,1
0.181278,0.667216,1
0.18938,0.761259,1
0.173011,0.669574,1
0.252566,0.656392,1
0.257501,0.72927,1
0.173161,0.787905,1
0.241209,0.667046,1
0.183351,0.734133,1
0.11974,0.58814,1
0.113821,0.67533,1
0.067712,0.81876,1
0.129024,0.758137,1
0.232204,0.637204,1
0.194261,0.669625,1
0.204361,0.731049,1
0.176143,0.739591,1
0.154266,0.64699,1
0.205658,0.663939,1
0.213918,0.640325,1
0.136088,0.735137,1
0.195868,0.638863,1
0.167941,0.645168,1
0.111313,0.70088,1
0.271389,0.693281,1
0.188009,0.588932,1
0.231222,0.690294,1
0.119629,0.850123,1
0.225189,0.688648,1
0.185386,0.614061,1
0.230545,0.583276,1
0.17132,0.602477,1
0.116676,0.813037,1
0.152464,0.80308,1
0.1415,0.766821,1
0.12911,0.755704,1
0.208346,0.511477,1
0.155564,0.678228,1
0.117398,0.715715,1
0.144925,0.696928,1
0.235236,0.672027,1
0.244983,0.478379,1
0.195946,0.68284,1
0.151265,0.801689,1
0.202798,0.617264,1
0.210274,0.657328,1
0.100231,0.744516,1
0.330755,0.570898,1
0.17957,0.759946,1
0.193862,0.664025,1
0.213061,0.617804,1
0.105159,0.693064,1
0.168482,0.645847,1
0.165649,0.640538,1
0.152161,0.678158,1
0.08363,0.799557,1
0.223274,0.657546,1
0.164719,0.653621,1
0.139667,0.735928,1
0.154161,0.703332,1
0.096078,0.843976,1
0.172349,0.682733,1
0.168773,0.615869,1
0.193851,0.72672,1
0.170498,0.72717,1
0.139442,0.836721,1
0.167436,0.750495,1
0.27757,0.63546,1
0.240514,0.638195,1
0.214796,0.676149,1
0.222899,0.490327,1
0.133003,0.68565,1
0.173512,0.695967,1
0.187746,0.640563,1
0.16834,0.596938,1
0.129155,0.682522,1
0.163129,0.764643,1
0.136509,0.687769,1
0.149569,0.882402,1
0.121578,0.81822,1
0.212737,0.637119,1
0.208732,0.639948,1
0.196201,0.707426,1
0.177257,0.702175,1
0.219299,0.705135,1
0.175064,0.721339,1
0.15251,0.76201,1
0.100613,0.732015,1
0.18889,0.751215,1
0.153105,0.773805,1
0.164129,0.682977,1
0.240665,0.777671,1
0.183389,0.815783,1
0.140045,0.652689,1
0.219346,0.537085,1
0.160365,0.812502,1
0.246907,0.482489,1
0.180226,0.70529,1
0.180898,0.732884,1
0.178056,0.73592,1
0.066787,0.859263,1
0.105857,0.769032,1
0.147224,0.84505,1
0.150164,0.616632,1
0.242945,0.710318,1
0.11289,0.60082,1
0.140112,0.883628,1
0.209554,0.639408,1
0.246379,0.690558,1
0.133189,0.658771,1
0.143012,0.699554,1
0.142895,0.719093,1
0.121923,0.752277,1
0.201166,0.648271,1
0.169391,0.708496,1
0.205755,0.742186,1
0.277917,0.654765,1
0.145056,0.703302,1
0.151878,0.791422,1
0.27228,0.591958,1
0.147489,0.772258,1
0.129105,0.741789,1
0.145145,0.760408,1
0.169435,0.643886,1
0.148519,0.814151,1
0.172004,0.736367,1
0.219774,0.722148,1
0.201711,0.779385,1
0.172181,0.735461,1
0.158986,0.770566,1
0.211272,0.695934,1
0.104546,0.779918,1
0.129484,0.731254,1
0.223572,0.590048,1
0.168255,0.639193,1
0.225847,0.781583,1
0.183317,0.686071,1
0.216129,0.622974,1
0.21494,0.650975,1
0.172826,0.703949,1
0.164487,0.720128,1
0.170174,0.60721,1
0.169796,0.707751,1
0.217154,0.65714,1
0.182787,0.600308,1
0.201358,0.61931,1
0.117031,0.698622,1
0.164773,0.634347,1
0.217876,0.716538,1
0.142917,0.692967,1
0.166572,0.673087,1
0.19175,0.710637,1
0.136274,0.645157,1
0.126448,0.747402,1
0.154932,0.717484,1
0.140071,0.754892,1
0.108276,0.729036,1
0.118016,0.658465,1
0.248489,0.733979,1
0.193749,0.70385,1
0.146733,0.84625,1
0.116974,0.698986,1
0.170464,0.780378,1
0.230466,0.616764,1
0.167071,0.721069,1
0.1735,0.635707,1
0.133675,0.781301,1
0.1778,0.715586,1
0.232611,0.715256,1
0.236849,0.389757,1
0.161319,0.696005,1
0.219265,0.662016,1
0.117037,0.747287,1
0.077584,0.664935,1
0.237568,0.715893,1
0.183042,0.640367,1
0.200924,0.671538,1
0.168286,0.835329,1
0.229218,0.60104,1
0.265243,0.739628,1
0.100277,0.81103,1
0.176572,0.60127,1
0.075693,0.811563,1
0.169468,0.763005,1
0.166983,0.677891,1
0.21078,0.691144,1
0.151198,0.66219,1
0.104,0.796061,1
0.107342,0.825081,1
0.251193,0.622384,1
0.158188,0.779879,1
0.112688,0.780305,1
0.173146,0.738081,1
0.236705,0.675538,1
0.190931,0.750954,1
0.233986,0.688379,1
0.212887,0.753244,1
0.133068,0.741338,1
0.117631,0.740264,1
0.211447,0.612307,1
0.167019,0.534117,1
0.205616,0.773196,1
0.105661,0.695249,1
0.204033,0.670152,1
0.205504,0.700338,1
0.178685,0.533118,1
0.131276,0.717279,1
0.107292,0.676564,1
0.131488,0.690145,1
0.181347,0.696353,1
0.217642,0.617159,1
0.09592,0.940582,1
0.214192,0.658265,1
0.153809,0.692146,1
0.184504,0.67432,1
0.153018,0.589562,1
0.270049,0.707846,1
0.153643,0.703452,1
0.162827,0.708566,1
0.237717,0.502051,1
0.146576,0.767052,1
0.191806,0.766606,1
0.186398,0.743042,1
0.175013,0.89962,1
0.167363,0.849868,1
0.148691,0.741755,1
0.203283,0.704973,1
0.165666,0.627347,1
0.235625,0.677992,1
0.117647,0.603613,1
0.156195,0.627695,1
0.128049,0.904602,1
0.207714,0.681057,1
0.150417,0.804719,1
0.190944,0.629642,1
0.213969,0.605194,1
0.173814,0.662461,1
0.177337,0.649338,1
0.14186,0.617665,1
0.168747,0.728563,1
0.125716,0.705025,1
0.130469,0.915111,1
0.196117,0.692786,1
0.169662,0.670034,1
0.078463,0.698326,1
0.124689,0.762007,1
0.163447,0.717299,1
0.227977,0.631277,1
0.179192,0.721791,1
0.147879,0.696801,1
0.226612,0.701338,1
0.149643,0.703201,1
0.26714,0.532605,1
0.157484,0.682402,1
0.127086,0.744895,1
0.226525,0.646038,1
0.09707,0.816156,1
0.142864,0.753269,1
0.116517,0.799958,1
0.136145,0.762691,1
0.199312,0.686831,1
0.208775,0.626515,1
0.183739,0.669791,1
0.128574,0.716654,1
0.156662,0.704992,1
0.176075,0.67252,1
0.205876,0.522227,1
0.126704,0.784632,1
0.161693,0.686411,1
0.179336,0.689124,1
0.094698,0.810083,1
0.119744,0.698348,1
0.169058,0.618521,1
0.225298,0.587169,1
0.265718,0.661483,1
0.125251,0.729014,1
0.170238,0.763864,1
0.145597,0.729458,1
0.116947,0.706295,1
0.220176,0.743135,1
0.136357,0.810782,1
0.159619,0.658041,1
0.082945,0.650064,1
0.103861,0.787863,1
0.225391,0.608169,1
0.174793,0.705826,1
0.205976,0.602752,1
0.179143,0.578175,1
0.117389,0.598441,1
0.235979,0.681222,1
0.11331,0.718818,1
0.21072,0.787026,1
0.148098,0.667819,1
0.222487,0.679134,1
0.202269,0.749544,1
0.144464,0.73839,1
0.184901,0.725467,1
0.22123,0.805755,1
